Country,Happiness Rank
Switzerland,1
Iceland,2
Denmark,3
Norway,4
Canada,5
Finland,6
Netherlands,7
Sweden,8
New Zealand,9
Australia,10
Israel,11
United States,15
Brazil,16
Ireland,18
Belgium,19
United Arab Emirates,20
United Kingdom,21
Oman,22
Singapore,24
Germany,26
Qatar,28
France,29
Argentina,30
Thailand,34
Saudi Arabia,35
Japan,46
South Korea,47
Italy,50
Kazakhstan,54
Poland,60
Malaysia,61
Russia,64
Mauritius,71
Hong Kong,72
Indonesia,74
Vietnam,75
Turkey,76
Pakistan,81
